eventid,iyear,imonth,iday,country,country_txt,region,region_txt,latitude,longitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt
201409110050,2014,9,11,95,Iraq,10,Middle East & North Africa,32.616685,44.033355,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,0,0,7,0,-9,,
201409110051,2014,9,11,95,Iraq,10,Middle East & North Africa,31.996018,44.31461,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,5,0,12,0,-9,,
201409110054,2014,9,11,95,Iraq,10,Middle East & North Africa,33.272896,44.299864,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,1,0,5,0,0,,
201409110055,2014,9,11,95,Iraq,10,Middle East & North Africa,33.061667,44.354167,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,2,0,10,0,0,,
201409110056,2014,9,8,4,Afghanistan,6,South Asia,36.760396,71.205432,1,0,3,Bombing/Explosion,19,Transportation,Taliban,6,Explosives/Bombs/Dynamite,0,0,0,0,1,4,Unknown
201409110061,2014,9,11,95,Iraq,10,Middle East & North Africa,35.136031,44.087539,1,0,6,Hostage Taking (Kidnapping),17,Terrorists/Non-State Militia,Islamic State of Iraq and the Levant (ISIL),5,Firearms,3,0,,0,0,,
201409110062,2014,9,11,95,Iraq,10,Middle East & North Africa,35.136629,44.087225,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),13,Unknown,0,0,0,0,0,,
201409110065,2014,9,11,214,Ukraine,9,Eastern Europe,48.012655,37.802783,1,0,2,Armed Assault,4,Military,Unknown,5,Firearms,0,0,3,0,1,4,Unknown
201409110067,2014,9,11,60,Egypt,10,Middle East & North Africa,30.786509,31.000376,1,0,3,Bombing/Explosion,3,Police,Unknown,6,Explosives/Bombs/Dynamite,0,0,5,0,-9,,
201409110068,2014,9,11,205,Thailand,5,Southeast Asia,6.790689,100.918146,1,0,4,Hijacking,14,Private Citizens & Property,Unknown,9,Melee,1,0,0,0,1,3,Minor (likely < $1 million)
201409110076,2014,9,11,95,Iraq,10,Middle East & North Africa,33.268883,44.347858,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,3,0,14,0,-9,,
201409110079,2014,9,11,95,Iraq,10,Middle East & North Africa,34.811952,44.522008,0,0,9,Unknown,4,Military,Islamic State of Iraq and the Levant (ISIL),13,Unknown,0,0,0,0,0,,
201409110080,2014,9,11,95,Iraq,10,Middle East & North Africa,34.811952,44.522008,0,0,9,Unknown,4,Military,Islamic State of Iraq and the Levant (ISIL),13,Unknown,0,0,0,0,0,,
201409120001,2014,9,12,153,Pakistan,6,South Asia,33.692284,71.031922,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,0,0,3,0,1,3,Minor (likely < $1 million)
201409120002,2014,9,12,153,Pakistan,6,South Asia,33.745824,70.96653,1,0,3,Bombing/Explosion,21,Utilities,Jaish-e-Khorasan (JeK),6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120003,2014,9,12,60,Egypt,10,Middle East & North Africa,31.132074,33.80321,1,0,2,Armed Assault,4,Military,Unknown,5,Firearms,1,0,0,0,0,,
201409120004,2014,9,12,153,Pakistan,6,South Asia,34.016594,71.581669,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120006,2014,9,9,4,Afghanistan,6,South Asia,34.945384,69.252717,1,0,3,Bombing/Explosion,4,Military,Taliban,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120010,2014,9,12,153,Pakistan,6,South Asia,26.959727,64.107656,1,0,2,Armed Assault,3,Police,Unknown,5,Firearms,0,0,1,0,0,,
201409120015,2014,9,21,6,Algeria,10,Middle East & North Africa,36.481153,4.292309,1,0,6,Hostage Taking (Kidnapping),18,Tourists,Jund al-Khilafa,5,Firearms,1,0,0,0,0,,
201409120016,2014,9,11,153,Pakistan,6,South Asia,29.277708,68.907099,1,0,3,Bombing/Explosion,19,Transportation,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,1,4,Unknown
201409120021,2014,9,12,113,Libya,10,Middle East & North Africa,32.111606,20.076973,1,0,2,Armed Assault,15,Religious Figures/Institutions,Unknown,5,Firearms,1,0,0,0,0,,
201409120022,2014,9,12,113,Libya,10,Middle East & North Africa,32.09048,20.095565,1,0,3,Bombing/Explosion,4,Military,Unknown,6,Explosives/Bombs/Dynamite,1,0,0,0,-9,,
201409120025,2014,9,12,228,Yemen,10,Middle East & North Africa,14.531382,49.127513,0,0,2,Armed Assault,4,Military,Unknown,5,Firearms,0,0,0,0,0,,
201409120027,2014,9,12,153,Pakistan,6,South Asia,34.011893,71.581566,1,0,6,Hostage Taking (Kidnapping),3,Police,Lashkar-e-Islam (Pakistan),5,Firearms,0,0,0,0,0,,
